t-SNE 1,t-SNE 2,Class
34.175423,-5.7942333,chantelle
9.812857,5.5190277,chantelle
-18.498508,2.322515,chantelle
-14.5331135,5.073924,chantelle
18.328432,-7.132458,chantelle
32.0628,-8.402377,chantelle
11.4186,-5.5959663,chantelle
7.745656,-6.43946,chantelle
-21.540087,2.338858,chantelle
16.489925,-0.5796403,chantelle
2.2238004,-8.825282,chantelle
-1.5649946,4.5359063,chantelle
-9.92331,-3.7136028,chantelle
28.455114,-8.16544,chantelle
4.5052137,-9.829466,chantelle
-4.9313207,-0.49606043,chantelle
-17.60675,2.178573,chantelle
17.875017,-6.1144605,chantelle
25.50957,-6.5228033,chantelle
20.134024,-2.1318727,chantelle
32.676224,-6.7027264,chantelle
2.984697,-10.820672,chantelle
18.290174,-5.277448,chantelle
3.7445376,-9.021072,chantelle
-11.46473,4.613609,chantelle
5.232178,11.437538,chantelle
-14.815998,5.0925784,chantelle
14.89188,-1.9020348,chantelle
32.202564,-7.587705,chantelle
4.2735443,-10.603868,chantelle
33.242043,-5.443746,chantelle
34.09716,-7.1301475,chantelle
-17.887138,4.3878474,chantelle
31.57044,-8.190853,chantelle
22.236547,-2.976581,chantelle
30.416662,-6.144375,chantelle
7.300743,1.912224,chantelle
19.180342,-4.806704,chantelle
-12.21118,0.4338281,chantelle
33.4385,-7.783273,chantelle
0.50923216,-11.6594715,chantelle
-6.1327534,-0.04775398,chantelle
2.4635322,-10.4332485,chantelle
-12.389358,9.434218,chantelle
-18.510805,2.1583867,chantelle
8.364121,2.0607572,chantelle
34.57367,-6.5427165,chantelle
-0.1356694,-9.97922,chantelle
-22.263714,2.786488,chantelle
5.9932423,-8.123404,chantelle
-15.506507,6.3040957,chantelle
4.1873417,-4.1437197,chantelle
-9.270044,-8.930108,chantelle
3.3982265,-4.3868484,chantelle
11.168515,1.0557233,chantelle
-0.7553215,2.1703043,chantelle
17.201412,-5.573451,chantelle
-2.3446665,-12.34616,chantelle
-20.880539,4.493076,chantelle
-1.6137348,-7.373316,chantelle
28.720188,-8.7638035,chantelle
21.772112,-4.131056,chantelle
29.50112,-6.159118,chantelle
33.74936,-9.022666,chantelle
33.554577,-8.043266,chantelle
-6.3829875,-5.0864115,chantelle
22.263662,0.6165261,chantelle
34.54287,-6.4188285,chantelle
34.00168,-6.9690595,chantelle
2.251931,-7.226107,chantelle
-14.100025,10.921388,chantelle
6.9088845,-3.735259,chantelle
17.363169,-2.6123192,chantelle
-13.995021,0.7274139,chantelle
31.809713,-9.754095,chantelle
-7.524667,0.1622378,chantelle
22.10121,-5.087449,chantelle
