UMAP 1,UMAP 2,Class
-3.6494641,6.378798,chantelle
-4.19133,5.616005,chantelle
-5.518021,5.3292046,chantelle
-2.249093,8.208622,chantelle
-0.1523573,9.539526,chantelle
-3.3535109,6.7133164,chantelle
-3.8521569,9.008466,chantelle
5.185127,9.569811,chantelle
-3.013497,7.7002916,chantelle
-3.39227,9.036131,chantelle
-2.994035,8.995418,chantelle
-3.7609704,5.3356357,chantelle
5.470577,9.284345,chantelle
-3.3531148,8.919273,chantelle
-3.5626638,7.865238,chantelle
0.3584863,9.10276,chantelle
0.12261938,8.954327,chantelle
-3.6369216,8.503229,chantelle
5.216835,8.919999,chantelle
-0.5255986,8.64433,chantelle
-4.5233736,5.271324,chantelle
-5.5569196,6.5281935,chantelle
-4.2908993,7.73274,chantelle
-3.4802482,5.419485,chantelle
-3.2960653,9.139664,chantelle
-5.9976196,5.15107,chantelle
-1.3726714,9.1155815,chantelle
5.3190193,9.343149,chantelle
-3.690596,6.318708,chantelle
-2.29117,8.340373,chantelle
-3.654462,7.8900366,chantelle
-3.8663228,7.154289,chantelle
4.6534433,8.706052,chantelle
5.4324703,8.869158,chantelle
-4.971373,6.1167793,chantelle
5.2678123,9.337473,chantelle
-4.0401435,5.331927,chantelle
-4.9834175,6.5785623,chantelle
-0.8673805,8.27876,chantelle
-5.786546,5.039514,chantelle
-2.5481083,9.354031,chantelle
4.316973,8.943547,chantelle
-6.1385393,5.3257213,chantelle
-2.6510763,9.59161,chantelle
-3.480225,7.486116,chantelle
-5.2747545,5.3927646,chantelle
-1.1398985,8.724825,chantelle
-1.428131,9.2293415,chantelle
-2.632398,9.273544,chantelle
0.18493348,9.538454,chantelle
-2.9789894,9.135701,chantelle
-4.706325,6.8929677,chantelle
-0.4378765,7.9189405,chantelle
-3.2082133,8.760455,chantelle
-3.602072,6.95019,chantelle
-5.351697,6.881902,chantelle
-0.32693225,7.9656687,chantelle
-2.3208852,8.732395,chantelle
-1.5513086,7.891053,chantelle
-5.0552983,7.481691,chantelle
5.2080445,9.061406,chantelle
-1.4123397,8.686414,chantelle
4.9312983,9.325418,chantelle
5.3236923,9.276764,chantelle
0.63674307,9.191901,chantelle
-2.6605844,9.656273,chantelle
-2.6451976,9.5359125,chantelle
-6.4676104,5.498317,chantelle
-1.1436834,9.297703,chantelle
5.127345,9.632267,chantelle
-0.82191586,8.824861,chantelle
5.4362082,9.223432,chantelle
-2.3174343,8.739319,chantelle
-2.4663887,9.428404,chantelle
1.1229722,8.800856,chantelle
4.8341994,8.63967,chantelle
-0.6875671,8.303784,chantelle
-5.524727,5.5673194,chantelle
-3.1751325,6.508988,chantelle
-2.7152672,9.492848,chantelle
-2.8177571,7.925839,chantelle
0.07804723,9.416765,chantelle
-5.397213,6.9657836,chantelle
-2.9189496,9.042806,chantelle
-5.784708,6.7564855,chantelle
0.38262817,9.519329,chantelle
-3.0617564,7.6972523,chantelle
-3.4485068,9.315106,chantelle
-3.9390335,7.925856,chantelle
-4.5725846,8.268497,chantelle
5.769443,8.325346,chantelle
5.3804617,8.932407,chantelle
0.17566389,9.30705,chantelle
-1.5739366,9.22662,chantelle
-4.4767365,5.0171494,chantelle
0.9976081,8.603003,chantelle
-0.40790707,9.579977,chantelle
4.8550286,9.357216,chantelle
-3.9732363,9.078227,chantelle
-4.9942875,6.338438,chantelle
5.324332,9.041547,chantelle
1.4642999,9.094676,chantelle
5.025826,9.600327,chantelle
-2.1863902,8.728913,chantelle
-6.071623,6.040635,chantelle
-4.8919063,5.8749065,chantelle
0.6487551,9.02525,chantelle
5.341012,9.010619,chantelle
-1.054764,8.907832,chantelle
-1.7304951,8.773212,chantelle
-6.114351,5.3225436,chantelle
0.0161801,9.270598,chantelle
-3.0451734,9.118789,chantelle
-4.4462852,7.970022,chantelle
-3.5404034,5.264195,chantelle
4.7671824,8.682852,chantelle
-2.5683506,9.425276,chantelle
-3.500252,8.244781,chantelle
-6.011029,6.2276387,chantelle
0.3407218,9.148325,chantelle
1.3809564,8.975728,chantelle
0.7369251,8.797643,chantelle
5.0448065,9.112474,chantelle
-2.776767,9.499772,chantelle
1.0774381,9.265909,chantelle
-2.5632334,9.4533205,chantelle
-4.330738,6.039481,chantelle
-3.8304365,7.8978224,chantelle
-4.2741866,5.1264277,chantelle
-0.40670246,9.357999,chantelle
5.2457123,9.062713,chantelle
-2.6904373,9.47739,chantelle
4.8666787,9.333643,chantelle
5.1863494,9.576535,chantelle
-5.2415156,5.7158346,chantelle
5.26984,8.906791,chantelle
0.8858854,9.374244,chantelle
4.936792,9.023535,chantelle
-1.6771047,8.19494,chantelle
0.9035471,8.739391,chantelle
-5.141935,7.259162,chantelle
5.31558,9.4313755,chantelle
-3.4694085,8.5648775,chantelle
-4.043501,7.861091,chantelle
-2.9470706,9.58646,chantelle
-4.3548293,6.005003,chantelle
-5.9858756,5.7165003,chantelle
-1.1592456,8.241029,chantelle
4.945197,9.659006,chantelle
-3.5701933,8.658502,chantelle
-6.3036504,5.3493066,chantelle
-1.9010918,9.2621,chantelle
-4.8237514,5.512301,chantelle
-2.2012212,8.680944,chantelle
-3.7192483,5.161328,chantelle
-2.5731246,8.6578455,chantelle
-0.58275175,8.260659,chantelle
-3.4996588,8.226686,chantelle
0.39876634,9.174227,chantelle
-2.8757362,8.6991205,chantelle
-5.969244,5.2749553,chantelle
-3.76791,9.0727,chantelle
4.7621565,8.65393,chantelle
1.3585801,9.149663,chantelle
4.921334,9.032477,chantelle
5.444452,9.349564,chantelle
5.371798,9.456683,chantelle
-3.484934,6.2724614,chantelle
0.6499511,9.610929,chantelle
5.100972,9.652241,chantelle
5.1677747,9.594494,chantelle
-2.7187939,9.1714735,chantelle
-3.7766485,5.983872,chantelle
-1.645494,8.543701,chantelle
0.2461168,9.305572,chantelle
-5.3617086,6.8976393,chantelle
5.6641345,8.920419,chantelle
-4.75122,7.68035,chantelle
1.3717133,8.96724,chantelle
-3.842193,8.2788515,chantelle
-3.5437467,8.419612,chantelle
5.481887,9.297106,chantelle
-1.1781057,8.425912,chantelle
-3.266703,9.105443,chantelle
5.555965,9.047368,chantelle
-2.091423,8.222379,chantelle
-4.6993876,6.9303126,chantelle
-4.226326,5.7188973,chantelle
-2.5803363,8.678618,chantelle
-4.65815,7.4445963,chantelle
-2.9039526,8.945249,chantelle
-3.1983032,9.277989,chantelle
-2.031146,9.4234915,chantelle
1.4674706,9.231638,chantelle
-3.1407676,6.9103727,chantelle
-2.3803787,8.098914,chantelle
-4.424057,6.151805,chantelle
-0.060098756,9.108435,chantelle
-2.9272037,8.526678,chantelle
-4.2688723,7.7769523,chantelle
-3.078985,7.5957623,chantelle
-2.405846,8.991341,chantelle
-5.2805552,7.119359,chantelle
-3.0069592,7.6239333,chantelle
-2.1994655,9.486525,chantelle
-5.2982063,5.887206,chantelle
-2.648922,9.611738,chantelle
-1.6193264,8.849513,chantelle
-4.1812997,5.3085575,chantelle
-2.722235,9.549537,chantelle
-4.031396,6.900527,chantelle
-2.4527364,9.640094,chantelle
-3.5634565,7.0916533,chantelle
1.1396619,8.9934845,chantelle
-6.0331683,6.581984,chantelle
-3.650417,9.164616,chantelle
-4.4466085,5.5538306,chantelle
-3.6167796,7.3105545,chantelle
-5.452368,5.0802956,chantelle
0.6662392,9.01906,chantelle
1.647948,9.010211,deterrimus
-2.7018416,6.196635,deterrimus
-3.1456993,8.048222,deterrimus
-4.336786,6.2277193,deterrimus
-2.2601814,7.387791,deterrimus
-1.8448327,9.370442,deterrimus
-3.9550085,6.4703155,deterrimus
-3.3114488,8.058225,deterrimus
-1.8219842,7.89801,deterrimus
-3.8913932,5.3461385,deterrimus
-4.2030897,8.149553,deterrimus
-3.6282918,5.8829136,deterrimus
-3.1915789,6.7779264,deterrimus
-4.9312315,5.1663213,deterrimus
-3.7957287,5.564303,deterrimus
-0.9948594,8.881255,deterrimus
-3.8953593,7.003164,deterrimus
-0.4446777,8.358462,deterrimus
-3.271934,9.0635195,deterrimus
-3.6753783,8.112892,deterrimus
-2.4853418,8.966495,deterrimus
-5.4942627,6.3966193,deterrimus
-4.6697226,5.741657,deterrimus
-3.851373,7.8110566,deterrimus
-5.1273656,7.246562,deterrimus
-4.6609263,6.4043846,deterrimus
-2.458058,7.3529882,deterrimus
-5.2548637,7.2501435,deterrimus
-2.453131,7.494537,deterrimus
-5.7552752,5.2190757,deterrimus
-2.500744,8.919581,deterrimus
5.7512703,8.725558,deterrimus
-1.9071597,8.25907,deterrimus
-3.049743,8.639569,deterrimus
-1.0393403,8.788154,deterrimus
-0.17381196,9.328992,deterrimus
-4.789709,6.7212763,deterrimus
-4.3289285,7.330038,deterrimus
-2.9805439,9.541609,deterrimus
-2.1124399,7.780505,deterrimus
-3.9557567,5.400681,deterrimus
-3.6826904,8.963701,deterrimus
-1.9189917,7.983155,deterrimus
5.7025986,8.802442,deterrimus
-5.326519,7.0105352,deterrimus
-3.0591254,8.296114,deterrimus
-5.7958426,5.4108195,deterrimus
-5.4054356,5.0138874,deterrimus
0.42847016,9.345732,deterrimus
-3.8205829,6.8884945,deterrimus
-6.0460052,6.440138,deterrimus
-4.83981,5.772019,deterrimus
-5.4828587,5.3112793,deterrimus
-4.1854115,5.26673,deterrimus
-0.19093171,8.862358,deterrimus
-4.1237383,8.793473,deterrimus
-2.1250715,8.814426,deterrimus
-5.840805,6.665484,deterrimus
-4.1334224,7.6393723,deterrimus
-3.429137,8.520437,deterrimus
-5.599577,5.889481,deterrimus
-4.1176963,7.416442,deterrimus
-2.9059908,5.0405593,deterrimus
-4.137373,6.7517366,deterrimus
-5.000634,5.7387023,deterrimus
-2.0716422,8.851727,deterrimus
-5.5135984,6.077635,deterrimus
-3.379888,9.119146,deterrimus
-3.5745568,8.489255,deterrimus
-4.0788836,8.042934,deterrimus
-3.485893,7.1149225,deterrimus
-3.8680801,8.1568,deterrimus
5.0776362,9.075392,deterrimus
-5.289552,5.631339,deterrimus
-0.7057159,8.771801,deterrimus
5.613325,9.068336,deterrimus
-3.803038,5.5633445,deterrimus
-3.2800848,8.030351,deterrimus
-3.7316093,8.479728,deterrimus
-5.2249312,6.9304276,deterrimus
-4.2098136,7.0255013,deterrimus
-3.039305,6.972348,deterrimus
-3.1666229,5.1805468,deterrimus
-4.545365,4.9931655,deterrimus
-2.9105027,4.988151,deterrimus
-2.5299733,9.324366,deterrimus
0.091829345,11.061573,deterrimus
-4.2145343,5.6563573,deterrimus
-5.3491063,6.2515945,deterrimus
-4.2221355,6.550981,deterrimus
-5.527997,6.7531877,deterrimus
-1.0700027,8.917294,deterrimus
-5.276573,5.139097,deterrimus
-1.8368217,9.064064,deterrimus
0.25410447,9.512037,deterrimus
-4.614263,5.7112546,deterrimus
-4.177632,6.9304757,deterrimus
0.42580158,9.363691,deterrimus
-3.601886,5.9756417,deterrimus
-3.5173378,5.9336247,deterrimus
-5.0878844,5.3425384,deterrimus
-3.9420397,8.044498,deterrimus
-3.3743865,8.964917,deterrimus
0.080273636,11.05896,deterrimus
-4.6813903,5.0638533,deterrimus
-1.4038818,8.859559,deterrimus
-3.577941,9.041365,deterrimus
-4.794498,7.22411,deterrimus
-3.609093,7.052399,deterrimus
-2.16477,7.856225,deterrimus
-3.8080645,8.727111,deterrimus
-4.1906095,7.582289,deterrimus
-2.868055,5.4566674,deterrimus
-1.6959314,8.939035,deterrimus
-4.5915875,5.045157,deterrimus
4.658093,9.1235485,deterrimus
0.43422258,10.080836,deterrimus
-0.9918607,9.304538,deterrimus
-4.397736,6.5360866,deterrimus
-4.2141004,5.6006894,deterrimus
4.908012,8.686526,deterrimus
-1.2348652,8.397507,deterrimus
-4.78772,5.098708,deterrimus
-4.376517,6.53083,deterrimus
-4.3020606,5.933996,deterrimus
-1.207812,9.06491,deterrimus
5.092864,9.657171,deterrimus
0.114397965,11.103852,deterrimus
-4.924279,5.4267607,deterrimus
-0.37121657,8.893578,deterrimus
-6.0130396,5.3413143,deterrimus
-1.5758871,8.487381,deterrimus
-3.8335464,5.980373,deterrimus
-5.022438,6.326225,deterrimus
