PCA 1,PCA 2,Class
37.042243991919406,92.13592801736378,amanita
-159.7952949667686,-43.86448827610742,amanita
-110.53969344506186,-8.402589007573308,amanita
-49.53492905236338,-91.26367426895224,amanita
-180.6904608937656,-49.84555365982095,amanita
-183.5095719122082,-60.793757739281325,amanita
13.01897490522621,-26.43683053891288,amanita
340.2098750939388,-185.3467366625556,amanita
-28.364141968853417,-24.21402496975723,amanita
45.85777502371548,-6.319166590264828,amanita
49.075218468543554,-105.11455296632708,amanita
555.2256317429303,86.95600490795117,amanita
-138.17092613331604,-14.465735174916116,amanita
169.8481792338665,-20.59791873657737,amanita
-47.9120304356594,62.64430889832399,amanita
-283.0007747657137,-6.045941280434538,amanita
-55.00970914605153,56.576786423199536,amanita
142.45777299811283,25.532477676637928,amanita
68.79993877383933,-38.459620242666965,amanita
132.79547079340202,45.58711952854952,amanita
728.1406663603279,29.61097207829996,amanita
72.62901927957869,35.317409564503954,amanita
-99.43436306589236,116.05004404158304,amanita
253.3582686467797,-72.2286891696402,amanita
-144.97369697040057,87.00557933388896,amanita
141.8231685852117,-19.593714271126306,amanita
-265.7492105711715,-78.87826791443464,amanita
55.61778843008134,-54.77637680489842,amanita
107.09043270201,26.7103797721358,amanita
-124.20822794840664,14.613166887562592,amanita
-260.7839388993251,-30.248371553883064,amanita
-11.4367972626349,-95.86251076312776,amanita
203.00648332103907,27.330710657497388,amanita
13.01897490522621,-26.43683053891288,amanita
-110.44608177260264,4.258490170644536,amanita
452.2187673113343,-3.30114169289306,amanita
-423.9274446155098,-96.98299576219706,amanita
12.535904801445035,-14.792992303351506,amanita
-111.7718989054738,-51.9687425147574,amanita
-85.05999797657034,28.98923890583272,amanita
-238.14284893585776,-80.31312510540631,amanita
-266.5496159521825,-59.08665510939268,amanita
111.74808527540758,-138.19588151784828,amanita
654.5696807467684,155.76418087372494,amanita
-177.91955496870085,-20.77992330390509,amanita
-262.34517544669524,-86.79888404377894,amanita
68.31622590577454,50.40856177557119,amanita
-106.23542197903832,58.56303418328326,amanita
-110.53969344506186,-8.402589007573308,amanita
25.372356187502493,-94.28998496083015,amanita
