UMAP 1,UMAP 2,Class
-0.49869692,7.3613324,boletus
-3.422844,7.983838,boletus
-3.649638,7.258417,boletus
-6.1069984,6.300736,boletus
-3.4619038,6.395836,boletus
-1.6472886,8.246259,boletus
-5.8313746,6.4831276,boletus
-1.1574326,8.637491,boletus
-7.103186,5.7839537,boletus
-0.65225387,8.36335,boletus
1.2256644,8.392856,boletus
-2.7320645,7.644324,boletus
-0.39375508,7.3534408,boletus
-6.850545,5.9992747,boletus
-1.5073886,8.363228,boletus
4.1206436,8.397971,boletus
-6.8730383,5.7491584,boletus
-1.0435269,8.017226,boletus
-3.8190217,5.5915174,boletus
-0.7082551,7.346709,boletus
3.903671,7.6936893,boletus
-5.146806,5.6779327,boletus
-0.43373007,8.156894,boletus
-4.3503084,7.476275,boletus
-3.3954275,7.0765657,boletus
-0.74003476,7.573492,boletus
-3.186221,7.9593654,boletus
-1.4548262,8.651902,boletus
-4.949211,6.724629,boletus
-4.5429583,7.134926,boletus
3.7488265,8.253414,boletus
-0.9633685,8.591543,boletus
-5.4337053,6.76785,boletus
-5.8001413,5.171583,boletus
-3.7792306,7.588638,boletus
-0.95618016,8.377926,boletus
0.4111644,9.252298,boletus
-0.23375084,7.495528,boletus
-6.195438,5.660066,boletus
-2.8248463,7.5384607,boletus
4.3136797,8.249274,boletus
-1.4183111,7.972218,boletus
-4.258707,8.380686,boletus
-0.13208584,10.261743,boletus
1.7445726,8.309536,boletus
-4.5017495,6.807859,boletus
-5.361771,6.0755587,boletus
-3.935624,5.869442,boletus
-6.8543677,5.659118,boletus
-4.1782994,5.0209823,boletus
-4.4591827,6.9521065,boletus
-1.5362802,7.981273,boletus
-0.9729557,8.809859,boletus
4.0426025,7.6197543,boletus
4.533049,8.396853,boletus
5.1460238,7.7588778,boletus
-4.7714334,6.819775,boletus
-0.47921944,9.333546,boletus
4.8449426,7.8005652,boletus
-7.1895094,6.0699453,boletus
-4.269191,7.6782765,boletus
-4.368731,5.717267,boletus
-3.1120043,8.533418,boletus
4.2739315,8.008679,boletus
-0.7904469,8.6345825,boletus
-4.4678216,6.674584,boletus
-4.517829,5.647604,boletus
4.3318815,8.222061,boletus
-4.5582533,8.143096,boletus
-1.0812327,9.06841,boletus
4.2878294,7.623185,boletus
-1.7511443,8.552322,boletus
-5.43859,7.6592555,boletus
