t-SNE 1,t-SNE 2,Class
-22.684193,-0.45202187,chantelle
-9.071516,-1.26856,chantelle
6.0487947,8.376143,chantelle
1.4453273,3.24463,chantelle
17.191666,2.991327,chantelle
-13.976771,4.8700438,chantelle
4.260607,7.952503,chantelle
-15.323184,5.003709,chantelle
17.372639,2.5591002,chantelle
1.6255782,-2.698409,chantelle
12.377094,9.532489,chantelle
-3.052982,1.6217119,chantelle
-5.5508666,6.6202507,chantelle
35.547066,-1.7163836,chantelle
33.256454,1.678512,chantelle
16.597668,2.321558,chantelle
8.096405,3.548916,chantelle
-20.207764,10.242026,chantelle
20.756346,-1.7648368,chantelle
12.739784,7.4770026,chantelle
33.251816,5.156593,chantelle
-1.9272485,10.83936,chantelle
-14.722135,1.0055765,chantelle
33.087288,2.239054,chantelle
22.033113,0.38216946,chantelle
34.065784,5.2964654,chantelle
10.432348,6.1996064,chantelle
-18.512224,3.6234713,chantelle
-16.764835,-2.0419683,chantelle
19.572933,2.6465676,chantelle
33.176285,2.117673,chantelle
9.4991455,-0.19861759,chantelle
8.677003,3.1334395,chantelle
-21.586754,3.6933856,chantelle
16.321869,3.518836,chantelle
4.8874903,9.741233,chantelle
-4.630583,1.3630384,chantelle
-13.819786,-10.915098,chantelle
29.80518,0.79941976,chantelle
7.7247324,7.802448,chantelle
-3.6499531,3.57038,chantelle
-18.106266,4.3053427,chantelle
18.707851,1.7528743,chantelle
26.138382,0.8495367,chantelle
19.259148,-2.948033,chantelle
33.092144,3.8974237,chantelle
6.602266,9.292096,chantelle
19.6175,0.9896348,chantelle
6.4811416,7.3873987,chantelle
-14.029626,-4.7694745,chantelle
3.129862,-11.367325,chantelle
-18.108416,-5.5682445,chantelle
14.619651,1.5961002,chantelle
32.931232,2.8595984,chantelle
7.63056,9.041757,chantelle
33.122986,5.255742,chantelle
34.486122,4.049628,chantelle
-18.632727,0.09650875,chantelle
32.62914,2.1133242,chantelle
21.91179,1.6321849,chantelle
30.752398,3.5744312,chantelle
5.864963,0.32797322,chantelle
19.52209,-0.92375267,chantelle
-13.426833,5.7764807,chantelle
34.147095,3.2360308,chantelle
3.1935322,7.6897445,chantelle
-5.8662148,3.7059107,chantelle
5.961149,9.305095,chantelle
-12.485743,-5.348168,chantelle
-18.440096,3.1767116,chantelle
11.629169,2.0864708,chantelle
34.666008,4.7304773,chantelle
3.565855,9.21455,chantelle
-22.353224,3.423257,chantelle
8.534443,6.0726476,chantelle
-15.691333,-2.1144679,chantelle
7.3717737,4.654526,chantelle
-16.356686,-8.834001,chantelle
4.560071,4.5000997,chantelle
12.530879,-3.590734,chantelle
-1.3596798,1.7424071,chantelle
18.121767,1.005221,chantelle
-0.3065008,15.195584,chantelle
-21.315372,1.8272082,chantelle
-0.16643468,9.265062,chantelle
30.317032,0.38113716,chantelle
